n,seccion,comentario_limpio
1,1,Feliz Año Nuevo 2025
2,4,"El servicio de Fernando fue muy cálido y eficaz, excelente actitud."
3,5,Felicidades al chef.
4,5,Todo excelente! 🤗
5,5,"Es muy bueno, tiene platillos grandes o los puedes pedir chicos. El personal es muy amable, es grande el sitio y eso me gusta. Los baños están bien limpios, 10/10. Si pides para llevar, te ponen la comida en una caja bonita y no se maltratará la comida. Muy bien el lugar 🤗"
6,4,El pollo estuvo un poco chicloso.
7,5,¡Qué rico café!
8,5,Me parece bien que hagan encuestas y estuve bien atendido.
9,5,"Excelente servicio, limpieza y atención. La sonrisa del personal."
10,1,Estaba un poco fría la comida.
11,2,Excelente servicio y calidad en los alimentos.
12,5,Me parece que le faltó cocción al pollo.
13,2,Excelente atención y servicio tanto para llevar como para comer en el restaurante.
14,5,Muy buen servicio.
15,5,Estancia placentera
16,2,Excelente servicio 👍
17,5,El servicio es muy nuevo.
18,4,"No deberían cobrar el estacionamiento, debería ser un servicio que da el restaurante y menos obligar a dejarlo en el valet."
19,1,Ninguno
20,1,Recomiendo que el pozole esté un poco más caliente y la salsa de las enchiladas o chilaquiles esté un poco menos salada.
21,5,"Soy visitante del estado de Washington y estoy impresionada por el excelente servicio al cliente; gracias, felicidades a Casa Toño por el gran equipo que tienen; los recomendaré en mi TikTok talkingspanglishwithfloraybarra."
22,5,"Vine por recomendación de unos turistas y no se equivocaron, son simplemente excelentes y el Capitán Adán es un gran anfitrión. Sigan con la excelencia."
23,1,Y mi regalo vengo todos los días.
24,5,Germán fue muy atento y amable en todo momento.
25,4,Excelencia
26,5,No
27,5,Muy excelente servicio.
28,5,Muy rico el pozole.
29,5,No acomodar vajillas a un lado del comensal; me molestó que sobre mi mesa y junto a mí estaban tronando tazas y juntando líquidos sobrantes de un vaso a otro para poder llevarse nuestras tazas junto a otras de otra mesa.
30,2,Abrir una sucursal en Nicolás Romero y Atizapán.
31,2,"Todo bien, solo no olviden que los empleados hacen a una buena empresa :)"
32,5,La rosca debería traer un niño.
33,2,"Excelente servicio, muchísimas gracias."
34,5,Muchas gracias.
35,1,Me gustó mucho.
36,5,Excelente servicio
37,5,El café de olla estaba un poco frío.
38,4,Tiene un gran servicio y todo es muy bueno.
39,5,Excelente servicio
40,5,TODO BIEN HOMMES!
41,5,Excelente servicio y buen precio.
42,1,"Creo que los meseros se tienen que organizar un poco más porque la capitana tenía que estar detrás de ellos para varias cosas y, aunque fueron amables, se equivocaron varias veces. No sabían a qué mesa llevar mi orden y nos trajeron una cebolla que no pedimos."
43,2,Metan tortilla azul.
